title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
Safe Policy Learning for Continuous Control,Yinlam Chow; Ofir Nachum; Aleksandra Faust; Edgar Dueñez-Guzman; Mohammad Ghavamzadeh,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/chow21a/chow21a.pdf,,Открыто
Learning to Compose Hierarchical Object-Centric Controllers for Robotic Manipulation,Mohit Sharma; Jacky Liang; Jialiang Zhao; Alex Lagrassa; Oliver Kroemer,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/sharma21a/sharma21a.pdf,,Открыто
Relational Learning for Skill Preconditions,Mohit Sharma; Oliver Kroemer,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/sharma21b/sharma21b.pdf,,Открыто
Social-VRNN: One-Shot Multi-modal Trajectory Prediction for Interacting Pedestrians,Bruno Ferreira de Brito; Hai Zhu; Wei Pan; Javier Alonso-Mora,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/brito21a/brito21a.pdf,,Открыто
MuGNet: Multi-Resolution Graph Neural Network for Segmenting Large-Scale Pointclouds,Liuyue Xie; Tomotake Furuhata; Kenji Shimada,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xie21b/xie21b.pdf,,Открыто
Learning a Contact-Adaptive Controller for Robust; Efficient Legged Locomotion,Xingye Da; Zhaoming Xie; David Hoeller; Byron Boots; Anima Anandkumar; Yuke Zhu; Buck Babich; Animesh Garg,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/da21a/da21a.pdf,,Открыто
TNT: Target-driven Trajectory Prediction,Hang Zhao; Jiyang Gao; Tian Lan; Chen Sun; Ben Sapp; Balakrishnan Varadarajan; Yue Shen; Yi Shen; Yuning Chai; Cordelia Schmid; Congcong Li; Dragomir Anguelov,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zhao21b/zhao21b.pdf,,Открыто
Planning Paths Through Unknown Space by Imagining What Lies Therein,Yutao Han; Jacopo Banfi; Mark Campbell,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/han21a/han21a.pdf,,Открыто
Learning Dexterous Manipulation from Suboptimal Experts,Rae Jeong; Jost Tobias Springenberg; Jackie Kay; Dan Zheng; Alexandre Galashov; Nicolas Heess; Francesco Nori,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/jeong21a/jeong21a.pdf,,Открыто
STReSSD: Sim-To-Real from Sound for Stochastic Dynamics,Carolyn Matl; Yashraj Narang; Dieter Fox; Ruzena Bajcsy; Fabio Ramos,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/matl21a/matl21a.pdf,,Открыто
Contrastive Variational Reinforcement Learning for Complex Observations,Xiao Ma; SIWEI CHEN; David Hsu; Wee Sun Lee,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ma21a/ma21a.pdf,,Открыто
Universal Embeddings for Spatio-Temporal Tagging of Self-Driving Logs,Sean Segal; Eric Kee; Wenjie Luo; Abbas Sadat; Ersin Yumer; Raquel Urtasun,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/segal21a/segal21a.pdf,,Открыто
Asynchronous Deep Model Reference Adaptive Control,Girish Joshi; Jasvir Virdi; Girish Chowdhary,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/joshi21a/joshi21a.pdf,,Открыто
Probably Approximately Correct Vision-Based Planning using Motion Primitives,Sushant Veer; Anirudha Majumdar,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/veer21a/veer21a.pdf,,Открыто
