title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
MIRAGE: Cross-Embodiment Zero-Shot Policy Transfer with Cross-Painting,Lawrence Yunliang Chen; Karthik Dharmarajan; Kush Hari; Chenfeng Xu; Quan Vuong; Ken Goldberg,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p069.pdf,,Открыто
Broadcasting Support Relations Recursively from Local Dynamics for Object Retrieval in Clutters,Yitong Li; Ruihai Wu; Haoran Lu; Chuanruo Ning; Yan Shen; Guanqi Zhan; Hao Dong,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p070.pdf,,Открыто
Consistency Policy: Accelerated Visuomotor Policies via Consistency Distillation,Aaditya Prasad; Kevin Lin; Jimmy Wu; Linqi Zhou; Jeannette Bohg,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p071.pdf,,Открыто
CLOSURE: Fast Quantification of Pose Uncertainty Sets,Yihuai Gao; Yukai Tang; Han Qi; Heng Yang,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p072.pdf,,Открыто
GOAT: GO to Any Thing,Matthew Chang; Theophile Gervet; Mukul Khanna; Sriram Yenamandra; Dhruv Shah; So Yeon Min; Kavit Shah; Chris Paxton; Saurabh Gupta; Dhruv Batra; Roozbeh Mottaghi; Jitendra Malik; Devendra Singh Chaplot,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p073.pdf,,Открыто
Demonstrating Arena 3.0: Advancing Social Navigation in Collaborative and Highly Dynamic Environments,Linh KÃ¤stner; Volodymyir Shcherbyna; Huajian Zeng; Tuan Anh Le; Maximilian Ho-Kyung Schreff; Halid Osmaev; Nam Truong Tran; Diego Diaz; Jan Golebiowski; Harold Soh; Jens Lambrecht,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p074.pdf,,Открыто
RAG-Driver: Generalisable Driving Explanations with Retrieval-Augmented In-Context Multi-Modal Large Language Model Learning,Jianhao Yuan; Shuyang Sun; Daniel Omeiza; Bo Zhao; Paul Newman; Lars Kunze; Matthew Gadd,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p075.pdf,,Открыто
Dynamic Adversarial Attacks on Autonomous Driving Systems,Amirhosein Chahe; Chenan Wang; Abhishek Jeyapratap; Kaidi Xu; Lifeng Zhou,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p076.pdf,,Открыто
Hierarchical Open-Vocabulary 3D Scene Graphs for Language-Grounded Robot Navigation,Abdelrhman Werby; Chenguang Huang; Martin BÃ¼chner; Abhinav Valada; Wolfram Burgard,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p077.pdf,,Открыто
ScrewMimic: Bimanual Imitation from Human Videos with Screw Space Projection,Arpit Bahety; Priyanka Mandikal; Ben Abbatematteo; Roberto MartÃ­n-MartÃ­n,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p078.pdf,,Открыто
